,,Для чего нужно,Что сломается при отключени,Риск reject'а
NSCameraUsageDescription,Доступ к камере устройства для съемки фото и видео в реальном времени,Доступ к камере устройства,"замена обложки плейлиста с помощью камеры, флоу авторизации через сканирование QR","Низкий. Несмотря на то, что камера — чувствительный доступ, подтверждений в сети, что reject из-за пермишена, не найдено."
NSPhotoLibraryUsageDescription,Чтение фото и видео из медиатеки для выбора и загрузки,,Не получится заменить обложку плейлиста из галереи устройства,"Низкий. Подтверждений в сети, что reject из-за пермишена, не найдено."
UIBackgroundModes: audio,Продолжение воспроизведения аудио/видео после сворачивания или блокировки экрана,фоновое прослушивание аудио,"фоновое воспроизведение аудио после блокировки экрана или ухода в другое приложение. Без данного доступа, iOS приостановит приложение ВК Музыки, и фоновое воспроизведение прекратится.",Высокий. Apple проверяет фоновое воспроизведение пристально и вручную.
aps-environment (Push Notifications capability),Регистрация в APNs и приём удаленных уведомлений,Получение пуш-уведомлений,Перестанут работать пуш-уведомления,Ревьюер реально тестирует сценарии сворачивания приложения. Любой неиспользуемый или неоправданный background mode ведёт к reject по Guideline 2.5.4.
com.apple.developer.associated-domains,"Universal Links и связанные домены (applinks, webcredentials)","Universal Links, Deeplinks","Перестанут работать диплинки, будет открываться браузер",Высокий
